code,tradeStatus,code_name,date,codenumber
bj.430017,1,,2023-09-21,430017
bj.430047,1,,2023-09-21,430047
bj.430090,1,,2023-09-21,430090
bj.430139,1,,2023-09-21,430139
bj.430198,1,,2023-09-21,430198
bj.430300,1,,2023-09-21,430300
bj.430418,1,,2023-09-21,430418
bj.430425,1,,2023-09-21,430425
bj.430476,1,,2023-09-21,430476
bj.430478,1,,2023-09-21,430478
bj.430489,1,,2023-09-21,430489
bj.430510,1,,2023-09-21,430510
bj.430556,1,,2023-09-21,430556
bj.430564,1,,2023-09-21,430564
bj.430685,1,,2023-09-21,430685
bj.430718,1,,2023-09-21,430718
bj.830779,1,,2023-09-21,830779
bj.830799,1,,2023-09-21,830799
bj.830809,1,,2023-09-21,830809
bj.830832,1,,2023-09-21,830832
bj.830839,1,,2023-09-21,830839
bj.830879,1,,2023-09-21,830879
bj.830896,1,,2023-09-21,830896
bj.830946,1,,2023-09-21,830946
bj.830964,1,,2023-09-21,830964
bj.830974,1,,2023-09-21,830974
bj.831010,1,,2023-09-21,831010
bj.831039,1,,2023-09-21,831039
bj.831087,1,,2023-09-21,831087
bj.831152,1,,2023-09-21,831152
bj.831167,1,,2023-09-21,831167
bj.831195,1,,2023-09-21,831195
bj.831278,1,,2023-09-21,831278
bj.831304,1,,2023-09-21,831304
bj.831305,1,,2023-09-21,831305
bj.831370,1,,2023-09-21,831370
bj.831445,1,,2023-09-21,831445
bj.831526,1,,2023-09-21,831526
bj.831627,1,,2023-09-21,831627
bj.831641,1,,2023-09-21,831641
bj.831689,1,,2023-09-21,831689
bj.831726,1,,2023-09-21,831726
bj.831768,1,,2023-09-21,831768
bj.831832,1,,2023-09-21,831832
bj.831834,1,,2023-09-21,831834
bj.831855,1,,2023-09-21,831855
bj.831856,1,,2023-09-21,831856
bj.831906,1,,2023-09-21,831906
bj.831961,1,,2023-09-21,831961
bj.832000,1,,2023-09-21,832000
bj.832023,1,,2023-09-21,832023
bj.832089,1,,2023-09-21,832089
bj.832110,1,,2023-09-21,832110
bj.832145,1,,2023-09-21,832145
bj.832149,1,,2023-09-21,832149
bj.832171,1,,2023-09-21,832171
bj.832175,1,,2023-09-21,832175
bj.832225,1,,2023-09-21,832225
bj.832278,1,,2023-09-21,832278
bj.832419,1,,2023-09-21,832419
bj.832469,1,,2023-09-21,832469
bj.832471,1,,2023-09-21,832471
bj.832491,1,,2023-09-21,832491
bj.832566,1,,2023-09-21,832566
bj.832651,1,,2023-09-21,832651
bj.832662,1,,2023-09-21,832662
bj.832735,1,,2023-09-21,832735
bj.832802,1,,2023-09-21,832802
bj.832876,1,,2023-09-21,832876
bj.832885,1,,2023-09-21,832885
bj.832982,1,,2023-09-21,832982
bj.833075,1,,2023-09-21,833075
bj.833171,1,,2023-09-21,833171
bj.833230,1,,2023-09-21,833230
bj.833266,1,,2023-09-21,833266
bj.833346,1,,2023-09-21,833346
bj.833394,1,,2023-09-21,833394
bj.833427,1,,2023-09-21,833427
bj.833429,1,,2023-09-21,833429
bj.833454,1,,2023-09-21,833454
bj.833455,1,,2023-09-21,833455
bj.833509,1,,2023-09-21,833509
bj.833523,1,,2023-09-21,833523
bj.833533,1,,2023-09-21,833533
bj.833575,1,,2023-09-21,833575
bj.833580,1,,2023-09-21,833580
bj.833751,1,,2023-09-21,833751
bj.833781,1,,2023-09-21,833781
bj.833819,1,,2023-09-21,833819
bj.833873,1,,2023-09-21,833873
bj.833914,1,,2023-09-21,833914
bj.833943,1,,2023-09-21,833943
bj.834014,1,,2023-09-21,834014
bj.834021,1,,2023-09-21,834021
bj.834033,1,,2023-09-21,834033
bj.834058,1,,2023-09-21,834058
bj.834062,1,,2023-09-21,834062
bj.834261,1,,2023-09-21,834261
bj.834407,1,,2023-09-21,834407
bj.834415,1,,2023-09-21,834415
