¹ÉÆ±´úÂë,¹ÉÆ±Ãû³Æ,½»Ò×ÈÕÆÚ,¿ªÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,ÊÕÅÌ¼Û,Ç°ÊÕÅÌ¼Û,³É½»Á¿,³É½»¶î,Á÷Í¨ÊÐÖµ,×ÜÊÐÖµ
sh600001,ºªµ¦¸ÖÌú,1998/1/22,8,8.49,7.88,7.91,7.5,109192419,879181596,2531200000,9819244610
sh600001,ºªµ¦¸ÖÌú,1998/1/23,7.92,8.17,7.91,8.11,7.91,29841620,239735310,2595200000,10067518810
sh600001,ºªµ¦¸ÖÌú,1998/2/9,8.31,8.35,8.01,8.04,8.11,17788422,144566694,2572800000,9980622840
sh600001,ºªµ¦¸ÖÌú,1998/2/10,8.01,8.06,7.9,7.94,8.04,9783206,77782651,2540800000,9856485740
sh600001,ºªµ¦¸ÖÌú,1998/2/11,7.95,8.17,7.89,8.06,7.94,12123541,96769526,2579200000,10005450260
sh600001,ºªµ¦¸ÖÌú,1998/2/12,8.06,8.06,7.89,7.94,8.06,9604773,76179993,2540800000,9856485740
sh600001,ºªµ¦¸ÖÌú,1998/2/13,7.91,7.94,7.8,7.82,7.94,7507203,58875184,2502400000,9707521220
sh600001,ºªµ¦¸ÖÌú,1998/2/16,7.79,7.87,7.66,7.77,7.82,7433002,57476270,2486400000,9645452670
sh600001,ºªµ¦¸ÖÌú,1998/2/17,7.74,7.89,7.71,7.78,7.77,4426420,34505716,2489600000,9657866380
sh600001,ºªµ¦¸ÖÌú,1998/2/18,7.86,7.86,7.67,7.72,7.78,6479051,49937161,2470400000,9583384120
sh600001,ºªµ¦¸ÖÌú,1998/2/19,7.73,7.75,7.58,7.71,7.72,4787270,36779016,2467200000,9570970410
sh600001,ºªµ¦¸ÖÌú,1998/2/20,7.7,7.84,7.66,7.74,7.71,4545771,35228556,2476800000,9608211540
sh600001,ºªµ¦¸ÖÌú,1998/2/23,7.75,7.85,7.68,7.82,7.74,5878364,45775609,2502400000,9707521220
sh600001,ºªµ¦¸ÖÌú,1998/2/24,7.82,7.82,7.68,7.73,7.82,4102007,31724224,2473600000,9595797830
sh600001,ºªµ¦¸ÖÌú,1998/2/25,7.73,7.8,7.68,7.71,7.73,4000382,30877248,2467200000,9570970410
