股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额,流通市值,总市值
sh600002,齐鲁石化,1998/4/8,5.47,5.48,5.2,5.25,5,128095648,678466110,1653750000,10237500000
sh600002,齐鲁石化,1998/4/9,5.26,5.78,5.26,5.78,5.25,84629056,471064459,1820700000,11271000000
sh600002,齐鲁石化,1998/4/10,5.88,6.36,5.8,6.07,5.78,99511695,601135283,1912050000,11836500000
sh600002,齐鲁石化,1998/4/13,6.1,6.41,6.02,6.1,6.07,45998708,283291622,1921500000,11895000000
sh600002,齐鲁石化,1998/4/14,6.09,6.12,5.87,5.97,6.1,21146442,126601455,1880550000,11641500000
sh600002,齐鲁石化,1998/4/15,6.01,6.03,5.8,5.88,5.97,14643142,86043500,1852200000,11466000000
sh600002,齐鲁石化,1998/4/16,5.88,5.88,5.7,5.76,5.88,15310227,88451144,1814400000,11232000000
sh600002,齐鲁石化,1998/4/17,5.75,5.75,5.61,5.67,5.76,8763494,49658225,1786050000,11056500000
sh600002,齐鲁石化,1998/4/20,5.61,5.63,5.48,5.5,5.67,9416900,52220354,1732500000,10725000000
sh600002,齐鲁石化,1998/4/21,5.5,5.78,5.5,5.63,5.5,6982621,39449765,1773450000,10978500000
sh600002,齐鲁石化,1998/4/22,5.69,5.78,5.6,5.68,5.63,6567605,37147494,1789200000,11076000000
sh600002,齐鲁石化,1998/4/23,5.68,5.72,5.57,5.61,5.68,5429701,30433717,1767150000,10939500000
sh600002,齐鲁石化,1998/4/24,5.65,5.67,5.55,5.59,5.61,6960169,38832943,1760850000,10900500000
sh600002,齐鲁石化,1998/4/27,5.57,5.57,5.45,5.5,5.59,7431402,40845254,1732500000,10725000000
sh600002,齐鲁石化,1998/4/28,5.52,5.78,5.52,5.67,5.5,6304903,35558395,1786050000,11056500000
sh600002,齐鲁石化,1998/4/29,5.68,5.73,5.56,5.58,5.67,3696886,20693174,1757700000,10881000000
sh600002,齐鲁石化,1998/4/30,5.58,5.6,5.52,5.56,5.58,4584728,25435458,1751400000,10842000000
sh600002,齐鲁石化,1998/5/4,5.57,5.6,5.49,5.55,5.56,7324110,40389219,1748250000,10822500000
sh600002,齐鲁石化,1998/5/5,5.55,5.65,5.51,5.52,5.55,4720200,26264103,1738800000,10764000000
sh600002,齐鲁石化,1998/5/6,5.52,5.6,5.49,5.52,5.52,5039252,27813000,1738800000,10764000000
sh600002,齐鲁石化,1998/5/7,5.52,5.58,5.45,5.45,5.52,6136838,33695348,1716750000,10627500000
sh600002,齐鲁石化,1998/5/8,5.45,5.57,5.44,5.51,5.45,6574496,35987599,1735650000,10744500000
sh600002,齐鲁石化,1998/5/11,5.51,5.61,5.46,5.53,5.51,7671915,42327938,1741950000,10783500000
sh600002,齐鲁石化,1998/5/12,5.53,5.8,5.38,5.55,5.53,16442253,92691518,1748250000,10822500000
sh600002,齐鲁石化,1998/5/13,5.55,5.55,5.43,5.48,5.55,8011007,43750579,1726200000,10686000000
sh600002,齐鲁石化,1998/5/14,5.48,5.67,5.46,5.51,5.48,5164568,28589027,1735650000,10744500000
sh600002,齐鲁石化,1998/5/15,5.52,5.6,5.49,5.53,5.51,4587150,25430683,1741950000,10783500000
sh600002,齐鲁石化,1998/5/18,5.58,5.65,5.49,5.51,5.53,4268102,23722430,1735650000,10744500000
sh600002,齐鲁石化,1998/5/19,5.51,5.52,5.42,5.43,5.51,4112192,22400424,1710450000,10588500000
sh600002,齐鲁石化,1998/5/20,5.43,5.48,5.37,5.39,5.43,3380650,18220881,1697850000,10510500000
sh600002,齐鲁石化,1998/5/21,5.4,5.4,5.29,5.35,5.39,4453816,23743186,1685250000,10432500000
sh600002,齐鲁石化,1998/5/22,5.36,5.43,5.35,5.36,5.35,3239098,17370342,1688400000,10452000000
sh600002,齐鲁石化,1998/5/25,5.36,5.58,5.27,5.52,5.36,20049356,108728010,1738800000,10764000000
sh600002,齐鲁石化,1998/5/26,5.53,5.55,5.42,5.44,5.52,8086061,44206247,1713600000,10608000000
sh600002,齐鲁石化,1998/5/27,5.44,5.58,5.38,5.42,5.44,4945340,26894173,1707300000,10569000000
sh600002,齐鲁石化,1998/5/28,5.4,5.47,5.33,5.36,5.42,3793148,20374542,1688400000,10452000000
sh600002,齐鲁石化,1998/5/29,5.36,5.48,5.35,5.4,5.36,3962799,21340466,1701000000,10530000000
sh600002,齐鲁石化,1998/6/1,5.4,5.42,5.31,5.33,5.4,3605314,19238268,1678950000,10393500000
sh600002,齐鲁石化,1998/6/2,5.33,5.34,5.3,5.33,5.33,2835288,15049672,1678950000,10393500000
sh600002,齐鲁石化,1998/6/3,5.32,5.34,5.29,5.31,5.33,2728223,14492654,1672650000,10354500000
sh600002,齐鲁石化,1998/6/4,5.31,5.33,5.28,5.3,5.31,2893750,15336046,1669500000,10335000000
sh600002,齐鲁石化,1998/6/5,5.3,5.38,5.29,5.32,5.3,2444989,13003231,1675800000,10374000000
sh600002,齐鲁石化,1998/6/8,5.33,5.34,5.26,5.26,5.32,2686705,14202409,1656900000,10257000000
sh600002,齐鲁石化,1998/6/9,5.26,5.28,5.16,5.18,5.26,4307250,22446765,1631700000,10101000000
sh600002,齐鲁石化,1998/6/10,5.18,5.22,5.16,5.19,5.18,2300333,11919802,1634850000,10120500000
sh600002,齐鲁石化,1998/6/11,5.18,5.2,5.12,5.15,5.19,2894850,14902157,1622250000,10042500000
sh600002,齐鲁石化,1998/6/12,5.21,5.23,5.15,5.18,5.15,4060604,20983404,1631700000,10101000000
sh600002,齐鲁石化,1998/6/15,5.18,5.18,5.08,5.1,5.18,3904060,19953455,1606500000,9945000000
sh600002,齐鲁石化,1998/6/16,5.1,5.1,5.01,5.04,5.1,4516124,22759953,1587600000,9828000000
sh600002,齐鲁石化,1998/6/17,5.04,5.11,5.02,5.05,5.04,2174230,10974029,1590750000,9847500000
sh600002,齐鲁石化,1998/6/18,5.06,5.46,5.06,5.24,5.05,5990237,31704597,1650600000,10218000000
sh600002,齐鲁石化,1998/6/19,5.25,5.27,5.13,5.19,5.24,2696970,13950065,1634850000,10120500000
sh600002,齐鲁石化,1998/6/22,5.19,5.2,5.09,5.12,5.19,2669744,13674283,1612800000,9984000000
sh600002,齐鲁石化,1998/6/23,5.13,5.18,5.08,5.13,5.12,2075820,10583045,1615950000,10003500000
sh600002,齐鲁石化,1998/6/24,5.13,5.15,5.07,5.12,5.13,1874706,9585378,1612800000,9984000000
sh600002,齐鲁石化,1998/6/25,5.13,5.15,5.05,5.07,5.12,1695038,8614525,1597050000,9886500000
sh600002,齐鲁石化,1998/6/26,5.08,5.15,5.05,5.11,5.07,2200060,11188567,1609650000,9964500000
sh600002,齐鲁石化,1998/6/29,5.12,5.15,5.04,5.06,5.11,1736342,8803650,1593900000,9867000000
sh600002,齐鲁石化,1998/6/30,5.22,5.22,5.05,5.06,5.06,754250,3828266,1593900000,9867000000
sh600002,齐鲁石化,1998/7/1,5.15,5.17,5.04,5.05,5.06,2633150,13366760,1590750000,9847500000
sh600002,齐鲁石化,1998/7/2,5.05,5.17,5.04,5.12,5.05,2158138,10965718,1612800000,9984000000
sh600002,齐鲁石化,1998/7/3,5.12,5.27,5.1,5.18,5.12,4374609,22759367,1631700000,10101000000
sh600002,齐鲁石化,1998/7/6,5.3,5.35,5.21,5.23,5.18,4694263,24818404,1647450000,10198500000
sh600002,齐鲁石化,1998/7/7,5.28,5.28,5.15,5.18,5.23,1549427,8055000,1631700000,10101000000
sh600002,齐鲁石化,1998/7/8,5.18,5.3,5.18,5.25,5.18,1609535,8451338,1653750000,10237500000
sh600002,齐鲁石化,1998/7/9,5.26,5.37,5.21,5.33,5.25,4421733,23513643,1678950000,10393500000
sh600002,齐鲁石化,1998/7/10,5.35,5.39,5.27,5.31,5.33,2982490,15913886,1672650000,10354500000
sh600002,齐鲁石化,1998/7/13,5.35,5.41,5.3,5.32,5.31,3131676,16777317,1675800000,10374000000
sh600002,齐鲁石化,1998/7/14,5.35,5.35,5.09,5.14,5.32,3698431,19206209,1619100000,10023000000
sh600002,齐鲁石化,1998/7/15,5.2,5.34,5.13,5.26,5.14,2800200,14747126,1656900000,10257000000
sh600002,齐鲁石化,1998/7/16,5.3,5.37,5.23,5.33,5.26,4160596,22122251,1678950000,10393500000
sh600002,齐鲁石化,1998/7/17,5.33,5.43,5.28,5.38,5.33,8638980,46488016,1694700000,10491000000
sh600002,齐鲁石化,1998/7/20,5.39,5.45,5.21,5.29,5.38,4320324,23083220,1666350000,10315500000
sh600002,齐鲁石化,1998/7/21,5.28,5.35,5.2,5.3,5.29,1634598,8619210,1669500000,10335000000
sh600002,齐鲁石化,1998/7/22,5.3,5.36,5.2,5.23,5.3,1633500,8604809,1647450000,10198500000
sh600002,齐鲁石化,1998/7/23,5.24,5.3,5.21,5.25,5.23,1130917,5940164,1653750000,10237500000
sh600002,齐鲁石化,1998/7/24,5.29,5.32,5.2,5.24,5.25,1841000,9633844,1650600000,10218000000
sh600002,齐鲁石化,1998/7/27,5.24,5.24,5.16,5.18,5.24,1841401,9538888,1631700000,10101000000
sh600002,齐鲁石化,1998/7/28,5.18,5.25,5.16,5.18,5.18,1110747,5757750,1631700000,10101000000
sh600002,齐鲁石化,1998/7/29,5.3,5.42,5.28,5.3,5.18,5204350,27811075,1669500000,10335000000
sh600002,齐鲁石化,1998/7/30,5.33,5.42,5.3,5.35,5.3,4747714,25500895,1685250000,10432500000
sh600002,齐鲁石化,1998/7/31,5.3,5.36,5.28,5.3,5.35,1536000,8159843,1669500000,10335000000
sh600002,齐鲁石化,1998/8/3,5.3,5.32,5.22,5.23,5.3,1765500,9261706,1647450000,10198500000
sh600002,齐鲁石化,1998/8/4,5.21,5.21,5.17,5.2,5.23,1231988,6390349,1638000000,10140000000
sh600002,齐鲁石化,1998/8/5,5.21,5.25,5.16,5.21,5.2,1441257,7477459,1641150000,10159500000
